aaab 昌明
ardlp 景詹束龍
ardlv 閣樓
areer 閒言潑語
arefr 閒言淡語
arelq 問津
arfh 闊少
arfqu 問卷
argcr 閒言贅語
argou 問起
argvr 聞名喪膽
arhdr 昭和
arheq 易如反掌
arhgr 昭告
arhjk 日落千丈
arhmq 易如翻掌
arhne 日和風暖
arhnh 暨居衡步
arhnn 易俗移風
arhor 問答
arhrc 問答題
arhrp 問官答花
arhuc 閉閤自責
arhuj 開路先鋒
ariew 問捨求田
ariir 閒言冷語
ariog 門閭之望
arite 闊度
arjgs 明鎗容易躲，暗劍最難防
arjgs 明鎗容易躲，暗箭最難防
arjjl 問斬
arjkp 闊老
arjkr 明知故問
arjku 明知故犯
arjob 閒話家常
arjv 問安
arjvd 問案
arlyn 是古非今
armbm 昭雪
armca 冒名頂替
armeh 易如破竹
armgn 問到
armjr 閒言碎語
armkg 明治天皇
armmf 昭示
armmk 問政
armuu 閉路電視
armwl 晤面
armwu 日落西山
army 閣下
arnvg 門可張羅
aro 闊人
arocr 問俗
arodh 明哲保身
arofc 暴露無遺
arofr 閉口無言
arojp 闊佬
arolk 問候
aromn 問倒
arond 闊氣
aroqt 時和年豐
arotc 問供
arowh 早知今日何必當初
arowh 早知今日，悔不當初
aroyg 問住
arp 問心
arpt 問世
arqaq 明如指掌
arqbr 閉口捕舌
arqnk 閣揆
arqvl 冒名接腳
arrbc 閣員
arrsn 闊別
arrsu 問號
arsop 開棺驗屍
arsrp 是可忍，孰不可忍
arsvr 閒言長語
artdi 闊葉樹
arter 闊落
artja 昭著
artog 問難
artsr 閉口藏舌
artuf 明若觀火
arufi 閎言崇議
aruu 問出
arvfj 闊綽
arvgl 明治維新
arvgs 明槍好躲，暗箭難防
arvnd 問好
arvov 易口以食
arvrp 早知如此
arvrr 閉口結舌
arwg 閭里
arwgg 門可羅雀
arwly 問罪
arwpb 閉閤思過
ary 問卜
arybb 閎言高論
arygq 闊達
aryjh 昭彰
arylh 闊步
arym 問上
aryrf 晤談
aryrh 問診
aryrj 問訊
aryrr 問話
arytu 問道
aryum 題名道姓
asa 昨日
asakb 門戶開放政策
asanu 昨晚
asatk 門戶開放
asbak 開霧睹天
asduu 開誠相見
ashdb 暱稱
asiep 量力度德
asiod 門戶之爭
asiou 門戶之見
asje 日耳曼
asjnc 既成事實
askbi 開誠布公
asmbf 量力而為
asmbn 量力而行
asmip 剔透玲瓏
asmk 昨天
asnus 勗勉
asobi 開誠佈公
asokf 時勢使然
aspso 昂藏七尺
asqau 暗藏春色
astlm 巴勒斯坦
asyii 暗藏玄機
asykg 時勢造英雄
asyok 昨夜
ataa 日暮
ataaq 明升暗降
atab 開明
atan 關門
atan 開門
atanh 關閉
atanj 開闢
atanr 開闊
atant 開關
atarf 關照
atbbe 關愛
atbcu 開脫
atbei 日益月滋
atbfg 開膛
atbjj 盟軍
atbn 日前
atbok 景升豚犬
atbpm 日昇月恆
atbuv 闔眼
atbvg 開墾
atbvk 眉開眼笑
atbvl 開眼界
atc 日共
atcb 日期
atcfb 開銷
atcfc 開鎖
atci 關公
atclb 閉關卻掃
atcnq 關鍵
atcqm 關鍵性
atct 日益
atcwg 開鑼
atddf 開禁
atdfh 關禁閉
atdii 關棧
atdmf 開標
atdoo 開來
atdor 開槍
atdvi 開機
atdvi 關機
atdvi 盟機
atdw 關東
ate 開水
atefb 開消
atehw 開溜
ateie 關渡
atejc 開演
atemf 開源
ateqj 開洋葷
ater 日落
ateyg 關注
atf 開火
atfmu 開光
atfnt 開燈
atfnt 關燈
atfpu 開炮
atftm 開小差
atgah 開場
atggi 開封
atgha 開場白
atgou 昇起
atgou 關起
atguo 關起來
athal 關節
athau 關島
athbd 開學
athdj 開釋
athdu 關稅
athet 開盤
athgs 開動
athlf 關節炎
athog 開往
athok 開徵
athrk 開啟
aths 開戶
athtc 開盤價
athug 閉關自主
athui 閉關自守
athuj 關稅率
athyn 開航
athyr 開船
atiev 聞噎廢食
atiib 開朗
atijb 關廟
ating 開庭
atioh 曠世之才
atioi 闔府
atior 晏開之警
atit 開戒
atiyr 開店
atjck 開竅
atjcm 昇空
atje 開支
atjmo 闔家
atjnt 開麥拉
atjrr 開豁
atjtc 開賽
atjvv 量體裁衣
atjwj 開車
atke 盟友
atl 關中
atlga 盟書
atlwj 開襠褲
atm 開工
atmcw 關西
atmd 關于
atmfj 昇平
atmge 開球
atmgg 開班
atmjs 開平方
atmk 昇天
atmkw 開天窗
atmmu 開元
atmnn 開列
atmrc 開礦
atmru 開砲
atmtc 關頭
atmtc 開頭
atmuk 開玩笑
atmwf 開票
atn 開弓
atnd 關子
atndc 關子嶺
atngm 開疆
atniy 關外
atniy 開外
atnl 開弔
atnld 開除
atnlh 開陽
atnlq 昇降
atnls 關防
atnlt 關隘
atnoe 開發
atnqi 昇降機
atnsv 開張
ato 關入
atof 開伙
atofo 關係人
atofr 關係詞
atogr 開罐器
atohf 關係
atoib 關餉
atoie 開飯
atojk 開仗
atoma 開會
atomc 開價
atomn 開例
atonj 開倒車
atop 開化
atoq 開年
atorn 開創
atp 開心
atp 關心
atpkj 開快車
atpmr 開悟
atpsh 關切
atpsv 日短心長
atpvw 關懷面
atpwd 開心果
atpyv 開懷
atpyv 關懷
atqbd 開採
atqha 開拍
atqhw 開播
atqik 開拔
atqjl 盟邦
atqjn 開挖
atqka 開春
atqke 開泰
atqlr 盟誓
atqmr 開拓
atqyj 關掉
atr 開口
atr 關口
atrbc 關員
atrji 開戰
atrmr 開路
atruh 盟兄弟
atsef 關緊
atsh 開刀
atsh 關刀
atsjt 關聯
atsmm 關羽
atspb 即溫聽厲
atstv 開展
attab 開幕
attbj 開葷
attbm 開幕式
attcd 開業
attec 開鑿
atthu 開首
attlj 開革
attmj 昇華
attop 開花
attyu 開荒
atu 開山
atu 關山
atuu 開出
atvfi 盟約
atvgk 日益壯大
atvik 開獎
atvir 開始
atwb 開胃
atwim 開國
atwim 盟國
atwkp 開恩
atwlg 開羅
atwly 開罪
atwnj 開罰單
atybb 關帝廟
atyck 開交
atyg 盟主
atyhc 開顏
atyhs 開方
atyjc 開辦費
atyjj 開辦
atyjj 關連
atykj 開夜車
atykm 開放式
atyl 日薪
atylb 開市
atym 闔上
atym 關上
atymr 開言
atymy 關卡
atynb 開通
atyog 關進
atyrb 開講
atyrd 開課
atyre 開設
atyri 開議
atyrl 開訓
atyru 關說
atysk 開放
atysy 關於
atyt 開立
atytb 開端
atyts 開立方
atytu 開道
atyui 開導
auabk 闡幽明微
auafu 晃晃
auajd 冒昧
auamo 既是
auana 晚間
auarf 晚照
auarh 昂首闊步
auau 巴巴
auaub 早出晚歸
auayf 晚景
auayl 暉光日新
aub 眉月
aubbp 昧己瞞心
aubcn 巴貝多
aubkf 既然
aubkf 冒然
aubkg 閹雞
aubq 冒用
aubu 眉目
aubum 晚睡
aubuo 眉睫
aubvi 日就月將
aubyd 日省月課
aubym 日省月試
aucdu 明光錚亮
audd 巴林
audfb 眉梢
audrq 巴格達
audup 巴想
auegc 冒瀆
auepu 冒泡
aueru 巴洛克
auf 冒火
aufbq 巴掌
aufdu 明光爍亮
aufmg 冒煙
aufqu 閱卷
aug 巴士
augah 晚場
augje 閱報
augje 晚報
augou 晚起
augou 冒起
augss 巴巴劫劫
augvc 巴山越嶺
auhai 晚香玉
auhal 晚節
auhbd 晚學
auhdb 冒稱
auheo 巴黎人
auhgs 晃動
auhhe 巴黎
auhkv 開眉笑眼
auhlm 開山鼻祖
auhlq 眉筆
auhni 晚風
auhog 既往
auhoi 曉得
auhoi 冒失鬼
auhoo 冒冒失失
auhqc 時絀舉贏
auhqc 時詘舉贏
auhqm 晚生
auhqo 冒失
auhqu 眉毛
auhui 閉境自守
auiec 巴山度嶺
auifr 暴虎馮河
auihs 晚成
auimb 開山祖師
auite 晚禮服
aujav 晚宴
aujbr 暗自竊喜
aujgj 閉目塞耳
aujgp 閉目塞聽
aujln 曉事
aujmd 眉宇
aujmo 既定
aujrn 閹割
aujv 晚安
aujwh 量己審分
aukb 既有
aukbt 開卷有益
aukhu 冒犯
auljc 冒牌貨
aullh 曉暢
aulli 昆山片玉
aullj 冒牌
aulyj 晚輩
aumbe 晚霞
aumbj 巴爾幹
aumbl 既而
aumbp 日出而作，日入而息
aumbs 日出而作
aumcw 巴西
aumfi 巴不得
aumfn 日出不窮
aumgg 晚班
aumgn 晚到
aumgq 星流霆擊
aumgu 明光珵亮
aumhm 閱歷
aumlb 冒雨
aummf 曉示
aummj 日已三竿
aummj 日出三竿
aumnp 冒死
aumps 日趨惡劣
aumre 顯山露水
aumtc 眉頭
aumuq 星流電擊
aunau 曉色
aunib 晨兢夕厲
aunir 冒名
aunlh 曉陽
aunlo 冒險
aunmp 眉急
aunpp 巴巴急急
aunvr 明目張膽
auocg 閱兵臺
auocm 閱兵式
auoib 眉目傳情
auoic 冒領
auoie 晚飯
auoma 晚會
auomc 閱兵
auopp 晃晃悠悠
auoq 晚年
auoqf 巴拿馬
auosu 曙光乍現
aup 眉心
aupmr 曉悟
auppb 巴比倫
aupt 閱世
aupt 晚世
aupuc 冒頓
auqdc 闡幽探賾
auqgu 昂首挺胸
auqhr 顯親揚名
auqkk 闡幽抉微
auqpp 眉批
auqry 盟山誓海
auqtg 巴拉圭
auror 巴哈
aurrf 巴哈馬
aursu 冒號
ausau 閒見層出
ausjr 曉譬
ausu 既已
ausug 閱覽室
ausvv 開眉展眼
auswu 閱覽
autab 早出暮歸
autbg 關山萬里
autbg 明見萬里
autcb 晚期
auteh 晃蕩
autvl 閉目養神
auu 日出
auuu 冒出
auuuo 冒出來
auvfr 巴結
auvgv 晚裝
auvha 晚婚
auviv 晚娘
auvrm 眉目如畫
auvrm 開山始祖
auvrr 巴巴結結
auwgu 巴里島
auwim 巴國
auwli 巴蜀
auwpr 閔亂思治
auwrv 開光點眼
auybg 巴望
auybj 晚運
auybp 明鏡高懸
auyci 閱讀機
auycr 閱讀器
auyev 晚餐
auyhl 晚近
auyif 晚熟
auyiu 冒充
auyje 晰毛辨發
auym 晚上
auyog 冒進
auyou 既遂犯
auyqp 明目達聰
auyrc 閱讀
auyrn 曉諭
auyru 煦色韶光
auyyu 問道於盲
avaeo 暴漲暴跌
avahm 晨星
avana 晨間
avart 問長問短
avats 晨曦
avbkf 晏然
avfmu 晨光
avfr 日給
avgou 晏起
avhni 晨風
avhpa 晨昏
avisi 門衰祚薄
avism 間接成本
aviue 問安視寢
aviur 問安視膳
avjbv 旰食宵衣
avjve 晏寢
avkgr 開張大吉
avma 日甚一日
avmri 暴衣露冠
avmrt 暴衣露蓋
avmuy 晏安酖毒
avmwu 晚娘面孔
avnd 晏子
avobg 關懷備至
avouv 暖衣飽食
avqrd 晨操
avrpg 間接民權
avsvu 時裝展覽
avta 曩昔
avtbi 日食萬錢
avvbu 曠遠綿邈
avvrm 眉眼如畫
avwgg 門堪羅雀
avybm 眉眼高低
avycj 間接選擇
avycq 間接選舉
awbmw 日東月西
awbuu 眉留目亂
awdod 門牆桃李
awedi 明窗淨幾
awedn 明窗淨几
awhib 旱苗得雨
awhsi 門當戶對
awihs 晒成
awlmu 照貓畫虎
awltb 晬面盎背
awmbd 日晒雨淋
awmfb 是福不是禍是禍躲不過
awmgt 闌珊
awmj 闌干
awnoo 開國承家
awokv 易輶攸畏
awrc 日圓
awshu 闌尾
awsuf 闌尾炎
awwgm 巴西里亞
axjva 閭閻安堵
axmg 閻王
axmgl 閻王爺
axqod 閭閻撲地
axwgg 閻羅王
ayabo 閒非閒是
ayare 問寒問暖
ayaya 晦暗
aycb 日商
aychb 是非分明
aydl 日新
ayepu 眉下添眉
ayesm 晦澀
ayheq 易於反掌
ayhib 是非自有公論
ayhvp 閼氏
ayiob 問罪之師
ayiod 是非之地
ayiop 是非之心
ayjcn 是非顛倒
ayjng 昧於事理
ayk 日文
aymfh 是非不分
ayofe 日下無雙
ayog 日進
ayok 日夜
ayond 晦氣
ayqrc 易於拾遺
ayrd 日課
ayrhr 是非口舌
ayrp 日誌
ayrr 日語
ayrtr 是非只為多開口
ayru 日記
aytwm 是非曲直
ayum 日記本
baanu 贈閱
babj 月暈
babmc 賭具
babse 脂肪酸
babse 脂肪腺
babum 見智見仁
babys 脂肪
bacgh 丹書鐵券
bacgk 丹書鐵契
bachb 愛憎分明
bacii 賭錢
badap 賭棍
badm 賭本
baegi 賭法
baeyg 賭注
bafdh 脂粉
bafhd 脂粉氣
bagah 賭場
bagis 賭城
baguk 舜日堯天
baguq 舜日堯年
bahaf 丹書白馬
bahnb 月白風清
bahoo 賭徒
bahu 月眉
bahxc 贈與
baife 敗者為寇
bainn 贈序
bajcd 腳踏實地
bajhr 賭客
bajii 賭博
bajjn 賭輸
bajtc 賭賽
bake 賭友
balbv 賭帳
bambb 同日而論
bambr 同日而語
bambr 同日而言
bambu 同日而道
bamdr 腳踏兩條船
bamoc 賭資
banin 贈予
baodk 目指氣使
baond 賭氣
baoqc 賭債
baork 睹著知微
baqye 脫白掛綠
barrn 賭咒
barrr 贈品
barsn 贈別
basmu 愛惜羽毛
basqf 賭馬
bassr 賭局
batcq 同音共律
batio 辭簡義賅
bavfr 贈給
bavik 贈獎
bavkp 膠著狀態
bavsh 脫脂奶粉
baylc 贈遺
baymr 贈言
baync 賭贏
bayrb 脂膏
baytk 贈送
bbamb 月明星稀
bbamb 月朗星稀
bbbah 肺腸
bbbbb 骨髓
bbbbf 骨髓炎
bbbbr 骨骼
bbbbt 胴體
bbbcr 賄賂
bbbek 腹背受敵
bbbeo 炙膚皸足
bbbhu 腦滿腸肥
bbbii 肺腑
bbbns 月滿則虧
bbbpu 胸有懸鏡
bbbq 購用
bbbrn 骨骼肌
bbbsv 肺脹
bbbtk 骨膜
bbbts 肺臟
bbcst 骨盆
bbctm 骨盆腔
bbdbn 骨刺
bbdbu 骨相
bbdhr 骨格
bbdih 軍用機場
bbduf 同明相照
bbdui 骨肉相殘
bbduj 骨肉相連
bbduq 同病相憐
bberg 肺活量
bbeun 肝髓流野
bbfbf 朋黨
bbfdj 購料
bbff 肺炎
bbgsi 胸有城府
bbhal 骨節
bbhcp 瞻情顧意
bbhdj 骨科
bbhem 髀肉復生
bbher 周而復始
bbhet 骨盤
bbheu 愛育黎首
bbhjg 月明千里
bbhlc 骨質
bbhlg 臉青鼻腫
bbhnm 骨髓移植
bbhoi 購得
bbhqh 購物
bbhsv 肺動脈
bbiob 骨肉之情
bbiop 肘脅之患
bbiou 骨肉之親
bbiou 肌膚之親
bbiou 腹背之毛
bbiow 膠鬲之困
bbish 胸有成竹
bbisr 胸有成略
bbist 胸有成算
bbjdk 懸而未決
bbjdk 體育專科學校
bbjdy 骨肉未寒
bbjed 雞骨支床
bbjjj 骨幹
bbke 朋友
bbkf 骨灰
bbkfs 肺癆
bbkmb 肺病
bbkrd 骨架
bbkru 骨癌
bbkru 肺癌
bbkva 贓賄狼藉
bbkva 贓賄狼籍
bbkys 見誚大方
bbllj 骨牌
bblyj 朋輩
bbmbg 冤有頭，債有主
bbmdd 同歸殊途
bbmdg 同歸殊塗
bbmee 骨碌碌
bbmfg 脂膏不潤
bbmft 受用不盡
bbmgu 骨肉至親
bbmrb 鶻侖吞棗
bbmre 骨碌
bbmtc 骨頭
bbmwt 脯醢
bbnd 骨子
bbndg 骨子裡
bbnql 腹有鱗甲
bbnup 周情孔思
bbo 購入
bbobo 骨肉
bbodg 肺氣腫
bbofe 雞膚鶴發
bboiv 購食
bbolg 胸有邱壑
bbond 骨氣
bbopc 購貨
bbptw 見過世面
bbqdv 肺靜脈
bbqhl 骨折
bbqhm 眼高手生
bbqkr 脫骨換胎
bbqom 眼高手低
bbqpk 眼明手快
bbqqo 眼明手捷
bbrtc 瞞哄
bbsfb 瞞騙
bbsfd 朋馳
bbsjd 目濡耳染
bbsjd 目擩耳染
bbsmg 購屋
bbtbg 鵬霄萬里
bbtbo 胝肩繭足
bbthg 骨董
bbtkg 脂膏莫潤
bbtpd 肺葉
bbtsw 瞻蒲勸穡
bbumf 骨炭
bbvro 肺結核
bbwcp 購買慾
bbwcs 購買力
bbwfb 雞同鴨講
bbwlc 購買
bbwlm 購置
bbyab 見精識精
bbyhm 腳高步低
bbypi 鼎湖龍去
bbyrc 賄選
bbyrl 肺部
bbyt 骨立
bbyyt 同歸於盡
bcayl 月異日新
bcbbt 具體
bcbcl 冥冥中
bcbjw 賊頭賊腦
bcbne 臉黃肌瘦
bcbqj 肥頭胖耳
bcbtm 具體性
bcbtp 具體化
bcbu 瞑目
bcc 贖金
bccii 賺錢
bccii 冥錢
bccin 賄貨公行
bcdlf 懸兵束馬
bcdne 懸頭刺股
bcdue 同類相求
bcduo 同類相聚
bcduo 同類相從
bcdup 冥想
bcdus 同類相妒
bcfkc 貝類
bcfmc 膩煩
bcfme 亂頭粗服
bcgec 貝殼類
bcgfo 贖款
bcgje 冥報
bcgne 貝殼
bcgni 冥壽
bchiw 賊頭鬼腦
bchoo 敗績失據
bchvw 賊頭鼠腦
bchxh 贖身
bcioi 冥府
bciol 冥冥之中
bcjvg 脫穎囊錐
bckb 具有
bckdd 骨頭架子
bcke 膩友
bckmw 肥頭大面
bckrw 賊頭狗腦
bcksj 肥頭大耳
bckva 贓貨狼藉
bclcc 賤買貴賣
bcmbb 敗興而歸
bcmbu 脫穎而出
bcmfb 貝爾
bcmff 見慣不驚
bcmfo 冥頑不靈
bcmgm 冥王星
bcmgn 賺到
bcmtc 賺頭
bcmtn 贖刑
bcmuc 冥頑
bcnai 貝魯特
bcnao 具象
bcnir 具名
bcnnh 貝多芬
bcoco 賑貧貸乏
bcoml 贖命
bcor 販賣人口
bcotb 具備
bcptf 膽顫心驚
bcqdf 腰金拖紫
bcrjd 膩味
bcrrr 冥器
bcrxy 辭金蹈海
bcsh 月分
bcsje 賺取
bcsrm 見慣司空
bctjs 貝勒
bctne 瞻顧前後
bcvfp 冥紙
bcvfr 具結
bcvha 冥婚
bcwln 丹黃甲乙
bcwly 贖罪
bcwp 冥思
bcwpu 見異思遷
bcwpx 見賢思齊
bcwr 贖回
bcyk 具文
bcyrm 冥誕
bcyvf 腰金衣紫
bdant 睜開
bdaua 同樂晚會
bdbfs 爭勝
bdbus 賊子亂臣
bdbuv 瞇眼
bdbuv 睜眼
bdchj 爭鋒
bdcia 同業公會
bddbu 爭相
bddne 懸梁刺股
bddne 懸樑刺股
bddtg 爭權
bddue 同氣相求
bddun 同業相仇
bddux 剛柔相濟
bdfmu 爭光
bdfuj 爭輝
bdgej 采聲
bdgg 月桂
bdgi 月桂冠
bdgji 爭執
bdgpd 采地
bdhdn 爭利
bdhek 瞠乎後矣
bdheu 瞠乎後已
bdhfj 雞爭鵝斗
bdhgu 爭先
bdhif 同休等戚
bdhmh 鷂子翻身
bdhni 采風
bdhrn 同床各夢
bdife 助桀為暴
bdifm 助桀為虐
bdifp 助桀為惡
bdj 月末
bdjyp 爭寵
bdkig 爭雄
bdkii 爭奪戰
bdkoi 爭奪
bdkva 贓汙狼藉
bdldn 鵬游蝶夢
bdlmw 雕梁畫棟
bdlmw 雕樑畫棟
bdln 爭鬥
bdmbb 爭霸
bdmbi 爭霸戰
bdmge 爭球
bdmia 月地雲階
bdmik 賸菜殘羹
bdmks 爭功
bdmmc 脖頸
bdmmu 目迷五色
bdmwd 爭面子
bdnd 脖子
bdnii 爭強
bdnir 爭名
bdoco 助學貸款
bdond 爭氣
bdpjk 財迷心竅
bdpth 眼迷心蕩
bdqgi 爭持
bdqkf 瞎子摸魚
bdqko 瞎子摸象
bdrau 采邑
bdrfh 爭吵
bdrhf 爭鳴
bdrji 爭戰
bdrrd 目睜口呆
bdryb 爭嘴
bdsen 爭取到
bdsjb 目染耳濡
bdsje 爭取
bdtcc 同條共貫
bdtce 瞠乎其後
bdtcf 同休共戚
bdtcu 同床共枕
bdtcx 剛柔並濟
bdvls 瞎子斷匾
bdvmt 爭妍
bdwcn 同床異夢
bdwog 孚眾望
bdyje 同氣連枝
bdyjj 爭辯
bdykm 爭產
bdymo 爭逐
bdyrb 爭論
bdyri 爭議
bdyri 爭訟
bdytb 爭端
bdyuk 見好就收
beaia 爭取時間
bebao 受贈人
bebbb 股骨
bebbt 肢體
bebcb 受賄
bebir 受胎
bebjm 腹腔
bebkf 腹膜炎
bebki 股肱
bebq 服用
bebq 受用
bebrr 服服貼貼
bebsv 腹脹
bebtk 腹膜
bec 股金
beclj 脫殼金蟬
becsh 股分
bedh 愛才
bedm 股本
bedtg 股權
beduk 同憂相救
bedw 股東
bedyb 剛毅木訥
beegi 服法
beehu 受洗
beeib 愛滋病
beejb 受潮
beejf 腹瀉
beemr 愛河
beetb 服滿
beeyf 受涼
befbc 受賞
befbl 受精卵
befdb 受精
befdh 受粉
befse 服勞役
begci 販賣機
begcl 販賣部
begfo 受款
begif 受熱
begou 愛起
begpd 腹地
begrv 服喪
begwc 販賣
behbn 受制
behdb 腹稿
behdn 股利
beheh 周發殷湯
behgc 愛顧
behhl 愛卿
behig 受得住
behig 懸鼓待椎
behin 受得了
behoe 服役
behon 膝行
behoo 服從
behpj 愛德華
behqh 愛物
behsg 受雇
behub 剛愎自用
behup 股息
behvu 受委屈
beifl 愛神
beift 受禮
beihc 月沒參橫
beik 愛犬
beiob 服膺
beit 受戒
beitb 膝席
bejdk 受教
bejhw 受審
bejic 愛戴
bejip 受惠
bejjn 服輸
bejln 服事
bejlv 愛妻
bejqr 受害
bejra 受害者
bejro 受害人
bejty 受寒
bejvd 腹案
bejyp 受寵
bekmb 受病
beknb 腹痛
beknr 雞皮疙瘩
bekoi 朋友有通財之義
beks 愛力
bekyv 貂皮大衣
belby 腰酸背疼
belpb 腹背
belrr 服服帖帖
bembw 愛爾蘭
bemfi 受不得
bemfn 受不了
bemfu 受不起
bemgg 受理
bemgn 受到
bemgu 愛現
bemgu 愛玩
bemhb 骨瘦形銷
bemiu 賸水殘山
bemji 亂瓊碎玉
bemnv 皸裂
bemny 愛琴海
bemoc 股資
bemow 肥水不落外人田
bemtn 服刑
bemtn 受刑
bemvi 受辱
bemwf 股票
bemy 膝下
bemy 服下
benbn 丹漆隨夢
benbq 肢解
bend 骰子
bend 愛子
bend 販子
bend 股子
benhs 服務
benlm 受阻
benlq 受降
benlv 受限
bensc 服務員
bensd 受孕
bensd 服務業
bensg 服務社
bensl 服務所
bensm 服務生
bensn 服務處
bensr 服務站
bensr 服務台
beo 愛人
beo 服人
beobd 受俘
beoce 服兵役
beoch 股份
beodu 受氣包
beofk 雞皮鶴髮
beogi 服侍
beoha 受傷者
beohg 受僱
beoib 服飾
beoiv 服食
beokd 炙冰使燥
beomc 股價
beoml 受命
beond 服氣
beond 受氣
beonh 冠履倒易
beonm 冠履倒置
beooh 受傷
beorf 矙瑕伺隙
beorr 愛侶
beovr 脫水食品
bep 腹心
bep 愛心
bepav 愛恨
bepca 愛憎
bepfq 愛憐
bepqb 愛情
bepta 愛惜
beqmy 販毒
beqmy 服毒
beqof 愛撫
beqog 受挫
beqrc 受損
berbc 股員
besfb 受騙
beshr 鼎鑊刀鋸
besjs 受聘
besmv 股長
besrq 愛群
besuu 受屈
betap 愛慕
betcd 受業
betct 受益
betgk 愛美
betgt 膝蓋
betjr 受苦
betkf 受驚
betms 服勤
betog 受難
bettb 膝蓋骨
bettc 受益費
betto 受益人
betvd 服藥
betw 愛苗
bev 愛女
bevfp 愛戀
bevgv 服裝
bevid 愛樂
bevik 受獎
bevkn 用夏變夷
bevnd 愛好
bevrd 骨瘦如柴
bevrh 骨瘦如豺
bevvr 服裝店
bewgj 滕殷羅畢
bewim 愛國
bewln 受罰
bewly 服罪
bewly 受罪
bewmp 愛國心
bewvf 受累
beybb 受過
beybj 販運
beyka 受邀者
beylb 股市
beym 愛上
beymg 膝上型
beyre 愛護
beyrl 膝部
beyrl 腹部
beyrl 受訓
beyrp 受託
beyrr 腹語
beyrr 受話器
beysa 受訪者
beytv 愛妾
beywm 愛迪生
bfa 祭日
bfaak 見小闇大
bfaer 目不暇給
bfaev 目不暇接
bfafj 妥為照料
bfant 騰開
bfbcn 然則
bfbed 軍火販子
bfbfd 眼不見為淨
bfbff 騰騰
bfbhu 腹熱腸荒
bfbhu 腹熱腸慌
bfbkf 瞭然
bfbse 祭服
bfbuo 目不見睫
bfbuu 瞧見
bfeir 縣治
bfeiu 目無法紀
bfemw 祭酒
bferd 腳不沾地
bfevv 財源滾滾
bffg 祭灶
bfgif 炙熱
bfgis 縣城
bfgpd 祭地
bfgsi 胸無城府
bfguq 雞鳴起舞
bfgym 祭壇
bfgyu 縣境
bfhbd 縣學
bfhdg 鵬程
bfhdr 鸚鵡學舌
bfhdv 縣委
bfhet 罔談彼短
bfhgr 祭告
bfhio 見不得人
bfhiu 瞧得起
bfhjq 愛不釋手
bfhmb 見景生情
bfhnb 月黑風高
bfhoe 然後
bfhqj 祭拜
bfhti 軍不血刃
bfhuo 瞠然自失
bfifl 祭神
bfifm 祭祖
bfift 祭禮
bfifu 祭祀
bfikk 雞鳴犬吠
bfioi 縣府
bfish 胸無成竹
bfitm 雞鳴戒旦
bfjah 胸無宿物
bfjcm 騰空
bfjib 目不轉睛
bfjib 眼不轉睛
bfjmv 肥馬輕裘
bfjpl 縣老爺
bfjrb 縣轄市
bfjrr 縣官
bfjub 體無完膚
bfjue 體無完皮
bfjuw 目不窺園
bfkel 辭不獲命
bfkgp 胸無大志
bfkil 縣太爺
bfknf 鶻鳩
bfkob 肥魚大肉
bfkrk 雞鳴狗吠
bfkrt 雞鳴狗盜
bflbv 賒帳
bfmar 懸鶉百結
bfmbi 騰雲
bfmbj 同然一辭
bfmbl 然而
bfmff 鸚鵡螺
bfmfr 然否
bfmfu 瞧不起
bfmgi 目無王法
bfmk 祭天
bfmki 縣政府
bfmlu 目不邪視
bfmmf 鸚鵡
bfmmo 目無三尺
bfmra 財不露白
bfmrr 鸚哥
bfmu 月光
bfmuu 騰騰兀兀
bfnbq 瞭解
bfnd 鷂子
bfnfb 雞鴨魚肉
bfnl 祭弔
bfno 賒欠
bfnoo 騰飛
bfnqn 瞭解到
bfobo 骨騰肉飛
bfodd 目無餘子
bfogq 目無全牛
bfoii 縣令
bfoju 目不斜視
bfokm 雞鳴候旦
bfonu 臉無人色
bfopc 賒貸
bfor 膾炙人口
bfora 目不知書
bfota 賒借
bfott 雞鳴饁耕
bfppb 朋黨比周
bfptf 腹熱心煎
bfpyj 祭悼
bfq 月半
bfqsb 祭掃
bfquo 見素抱樸
bfrmg 騰躍
bfrrr 祭品
bfruc 貂不足，狗尾續
bfrvp 縣民
bfsfi 縣尉
bfsfv 勝不驕敗不餒
bfsmr 祭司
bfsmv 縣長
bfspa 目不忍睹
bfspj 愛不忍釋
bfspu 目不忍見
bfspu 目不忍視
bfsrd 瞎馬臨池
bfstk 縣監獄
bftah 眼不著砂
bftbc 祭典
bftbf 鼎魚幕燕
bftcl 敗絮其中
bftcu 同源共流
bftfo 貌不驚人
bftiv 目無尊長
bftqm 縣差
bftru 目不苟視
bftwk 祭奠
bfuu 騰出
bfuu 瞧出
bfvdr 愛素好古
bfvrc 目不給賞
bfvrk 膽小如鼷
bfvrt 膽小如豆
bfvrv 膽小如鼠
bfwcu 同源異流
bfwcv 同源異派
bfwol 縣界
bfwrb 眼不回睛
bfwrd 腳不點地
bfwrg 胸無點墨
bfyaa 目不識書
bfyan 目不識丁
bfyan 眼不識丁
bfybg 瞭望
bfybh 股票市場
bfybk 祭獻
bfyg 祭主
bfygg 瞭望臺
bfygq 騰達
bfygr 瞭望台
bfyia 縣議會
bfyic 縣議員
bfyja 縣運會
bfyk 祭文
bfyko 目不交睫
bfyko 眼不交睫
bfylb 縣市
bfyog 敗不旋踵
bfyqi 辭不達義
bfyqp 辭不達意
